PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
1477	0.000000	0.000000	0.000000	0.000000	0.000000	-15.201805
1478	-0.109737	-1.397715	-5.991465	0.000000	-5.298317	-396.785197
1479	0.005578	-1.963860	-5.991465	0.000000	-5.298317	-396.785197
1480	-0.109737	-1.397715	-5.991465	0.000000	-5.298317	-396.785197
1481	-0.109737	-1.397715	-5.991465	0.000000	-5.298317	-396.785197
1482	-0.109737	-1.397715	-5.991465	0.000000	-5.298317	-396.785197
1483	-0.109737	-1.397715	-5.991465	0.000000	-5.298317	-396.785197
1484	-0.109737	-1.397715	-5.991465	0.000000	-5.298317	-396.785197
1485	-0.109737	-1.397715	-5.991465	0.000000	-5.298317	-396.785197
1486	-0.109737	-1.397715	-5.991465	0.000000	-5.298317	-396.785197
1487	-0.109737	-1.397715	-5.991465	0.000000	-5.298317	-396.785197
1488	-0.112465	0.747633	-5.991465	0.000000	-5.298317	-396.785197
1489	-0.109737	-1.397715	-5.991465	0.000000	-5.298317	-396.785197
1490	-0.109737	-1.397715	-5.991465	0.000000	-5.298317	-396.785197
1491	-0.109737	-1.397715	-5.991465	0.000000	-5.298317	-396.785197
1492	0.000000	0.000000	0.000000	0.000000	0.000000	-4.605170
1493	-0.259266	1.505436	0.000000	0.000000	0.000000	-4.605170
1494	-0.458652	-31.684163	-6.551080	0.000000	0.000000	-10.596635
1495	-0.458652	-31.684163	-6.551080	0.000000	0.000000	-10.596635
1496	-0.458652	-31.684163	-6.551080	0.000000	0.000000	-10.596635
1497	-0.458652	-31.684163	-6.551080	0.000000	0.000000	-10.596635
1498	-0.458652	-31.684163	-6.551080	0.000000	0.000000	-10.596635
1499	-0.458652	-31.684163	-6.551080	0.000000	0.000000	-10.596635
1500	-0.458652	-31.684163	-6.551080	0.000000	0.000000	-10.596635
1501	4.107525	3.033263	-8.268732	0.000000	-5.991465	-566.256958
1502	-0.211923	0.559410	-8.268732	0.000000	-5.991465	-566.256958
1503	4.107525	3.033263	-8.268732	0.000000	-5.991465	-566.256958
1504	4.107525	3.033263	-8.268732	0.000000	-5.991465	-566.256958
1505	-0.078090	0.194454	-8.268732	0.000000	-5.991465	-566.256958
1506	0.037579	0.111112	-8.268732	0.000000	-5.991465	-566.256958
1507	-0.623539	-0.215233	-8.268732	0.000000	-5.991465	-566.256958
1508	4.107525	3.033263	-8.268732	0.000000	-5.991465	-566.256958
1509	4.107525	3.033263	-8.268732	0.000000	-5.991465	-566.256958
1510	0.018730	3.383036	-8.268732	0.000000	-5.991465	-566.256958
1511	0.034849	1.153009	-8.268732	0.000000	-5.991465	-566.256958
1512	-0.013011	2.283516	-7.438384	0.000000	0.000000	-13.815510
