hhno pno day tour half tseg tsvid opurp dpurp oadtyp dadtyp opcl otaz dpcl dtaz mode pathtype dorp deptm arrtm endacttm travtime travcost travdist trexpfac
4000227 1 1 2 2 4 5 4 4 4 4 25336 2697 8611 2674 3 0 1 1038 1044 1048 4.918777 -1.000000 1.606823 24.247309
4000227 1 1 2 2 5 6 4 4 4 4 8611 2674 8719 2782 3 0 1 1048 1103 1107 13.629875 -1.000000 6.784224 24.247309
4000227 1 1 2 2 6 7 4 4 4 4 8719 2782 3562 2773 3 0 1 1107 1116 1119 7.415664 -1.000000 2.884828 24.247309
4000227 1 1 2 2 7 8 4 4 4 4 3562 2773 3562 2773 1 0 3 1119 1120 1123 2.732242 -1.000000 0.782827 24.247309
4000227 1 1 2 2 8 9 4 4 4 4 3562 2773 8470 2692 3 0 1 1123 1130 1133 10.038797 -1.000000 4.782320 24.247309
4000227 1 1 2 2 9 10 4 4 4 4 8470 2692 8604 2674 3 0 1 1133 1135 1146 3.893757 -1.000000 0.946879 24.247309
4000227 1 1 2 2 10 11 4 5 4 4 8604 2674 4729 742 3 0 1 1146 1208 1215 16.436304 -1.000000 7.979367 24.247309
4000227 1 1 2 2 11 12 5 0 4 1 4729 742 3452 2766 3 0 1 1215 1238 1713 17.860125 -1.000000 9.171605 24.247309
4000237 1 1 1 1 1 1 0 8 1 4 5741 1623 25559 1683 3 0 1 1845 1900 2111 14.286180 -1.000000 6.651199 89.017632
4000237 1 1 1 2 1 2 8 5 4 4 25559 1683 23599 1670 3 0 1 2111 2120 2152 11.168770 -1.000000 5.211000 89.017632
4000237 1 1 1 2 2 3 5 0 4 1 23599 1670 5741 1623 3 0 1 2152 2204 400 13.189260 -1.000000 5.855867 89.017632
4000237 2 1 1 1 1 1 0 1 1 2 5741 1623 27889 781 3 0 1 840 906 1803 28.354933 -1.000000 12.179489 89.017632
4000237 2 1 1 2 1 2 1 5 2 4 27889 781 5739 1629 3 0 1 1803 1823 1825 21.386314 -1.000000 10.075298 89.017632
4000237 2 1 1 2 2 3 5 0 4 1 5739 1629 5741 1623 3 0 1 1825 1831 400 7.616770 -1.000000 2.330742 89.017632
